project_title,project_norm,status,snap_idx,data_timestamp,dev_count,repo_count,edges,nodes,components,giant_ratio,density,bipartite_density,avg_degree,knowledge_redundancy,bus_factor_norm,mean_repo_load,gini_repo_load,fc_attack_adaptive,dev_count_pct,repo_count_pct,edges_pct,nodes_pct,mean_repo_load_pct,knowledge_redundancy_pct,avg_degree_pct
Beanstalk,beanstalk,Failures,5,2025-07-23 17:38:13.011985+00:00,53,38,159,91,1,1.0,0.03882783882783883,0.07894736842105263,3.4945054945054945,0.16803078019324438,0.11538461538461539,2.8846153846153846,0.5476923076923077,0.10989010989010989,98.14814814814815,100.0,99.375,98.91304347826086,101.24808965868569,100.07510987982855,100.46703296703296
Beanstalk,beanstalk,Failures,6,2025-08-20 04:12:03.435866+00:00,53,38,159,91,1,1.0,0.03882783882783883,0.07894736842105263,3.4945054945054945,0.16803078019324438,0.11538461538461539,2.8846153846153846,0.5476923076923077,0.10989010989010989,98.14814814814815,100.0,99.375,98.91304347826086,101.24808965868569,100.07510987982855,100.46703296703296
Beanstalk,beanstalk,Failures,7,2025-09-20 04:03:23.657570+00:00,53,38,167,91,1,1.0,0.04078144078144078,0.08291956305858987,3.67032967032967,0.1621109677435502,0.11538461538461539,3.0384615384615383,0.5520934761441091,0.10989010989010989,98.14814814814815,100.0,104.375,98.91304347826086,106.64798777381559,96.54941131025812,105.52197802197803
Beanstalk,beanstalk,Failures,8,2025-10-20 05:48:43.351519+00:00,53,38,168,91,1,1.0,0.041025641025641026,0.08341608738828203,3.6923076923076925,0.16152420882345797,0.11538461538461539,3.0384615384615383,0.5520934761441091,0.10989010989010989,98.14814814814815,100.0,105.0,98.91304347826086,106.64798777381559,96.19995174497093,106.15384615384616
Cream Finance,cream finance,Failures,0,2025-01-13 00:06:13.501155+00:00,18,15,40,33,1,1.0,0.07575757575757576,0.14814814814814814,2.4242424242424243,0.17294960594960596,0.058823529411764705,2.1176470588235294,0.42483660130718953,0.12121212121212122,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cream Finance,cream finance,Failures,1,2025-04-07 04:18:36.823830+00:00,18,15,40,33,1,1.0,0.07575757575757576,0.14814814814814814,2.4242424242424243,0.17294960594960596,0.058823529411764705,2.1176470588235294,0.42483660130718953,0.12121212121212122,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cream Finance,cream finance,Failures,2,2025-04-30 19:56:01.133459+00:00,18,15,40,33,1,1.0,0.07575757575757576,0.14814814814814814,2.4242424242424243,0.17294960594960596,0.058823529411764705,2.1176470588235294,0.42483660130718953,0.12121212121212122,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cream Finance,cream finance,Failures,3,2025-05-20 04:00:19.776788+00:00,17,15,39,32,1,1.0,0.07862903225806452,0.15294117647058825,2.4375,0.17360714285714285,0.0625,2.1875,0.4303571428571429,0.125,94.44444444444444,100.0,97.5,96.96969696969697,103.29861111111111,100.38018988475088,100.54687499999999
Cream Finance,cream finance,Failures,4,2025-06-20 04:00:14.727978+00:00,17,15,39,32,1,1.0,0.07862903225806452,0.15294117647058825,2.4375,0.17360714285714285,0.0625,2.1875,0.4303571428571429,0.125,94.44444444444444,100.0,97.5,96.96969696969697,103.29861111111111,100.38018988475088,100.54687499999999
Cream Finance,cream finance,Failures,5,2025-07-23 17:38:13.011985+00:00,17,15,39,32,1,1.0,0.07862903225806452,0.15294117647058825,2.4375,0.17360714285714285,0.0625,2.1875,0.4303571428571429,0.125,94.44444444444444,100.0,97.5,96.96969696969697,103.29861111111111,100.38018988475088,100.54687499999999
Cream Finance,cream finance,Failures,6,2025-08-20 04:12:03.435866+00:00,17,15,39,32,1,1.0,0.07862903225806452,0.15294117647058825,2.4375,0.17360714285714285,0.0625,2.1875,0.4303571428571429,0.125,94.44444444444444,100.0,97.5,96.96969696969697,103.29861111111111,100.38018988475088,100.54687499999999
Cream Finance,cream finance,Failures,7,2025-09-20 04:03:23.657570+00:00,17,15,39,32,1,1.0,0.07862903225806452,0.15294117647058825,2.4375,0.17360714285714285,0.0625,2.1875,0.4303571428571429,0.125,94.44444444444444,100.0,97.5,96.96969696969697,103.29861111111111,100.38018988475088,100.54687499999999
Cream Finance,cream finance,Failures,8,2025-10-20 05:48:43.351519+00:00,17,15,39,32,1,1.0,0.07862903225806452,0.15294117647058825,2.4375,0.17360714285714285,0.0625,2.1875,0.4303571428571429,0.125,94.44444444444444,100.0,97.5,96.96969696969697,103.29861111111111,100.38018988475088,100.54687499999999
Crema Finance,crema finance,Failures,0,2025-01-13 00:06:13.501155+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,1,2025-04-07 04:18:36.823830+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,2,2025-04-30 19:56:01.133459+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,3,2025-05-20 04:00:19.776788+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Crema Finance,crema finance,Failures,4,2025-06-20 04:00:14.727978+00:00,4,3,7,7,1,1.0,0.3333333333333333,0.5833333333333334,2.0,0.4166666666666667,0.3333333333333333,2.0,0.2222222222222222,0.2857142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0
