Project,Snapshot,bus_factor_norm,gini_repo_load,bipartite_density,knowledge_redundancy,fc_attack_adaptive
Element Finance,5,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,6,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,7,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,8,0.05405405405405406,0.5398198198198199,0.13240131578947367,0.13816858854731495,0.22857142857142856
Ethena,0,0.125,0.08125,0.21818181818181817,0.0595766129032258,0.05263157894736842
Ethena,1,0.14285714285714285,0.10081053698074975,0.16279069767441862,0.058701122725512964,0.06
Ethena,2,0.14285714285714285,0.1326530612244898,0.16943521594684385,0.060288424312814545,0.06
Ethena,3,0.13953488372093023,0.13023255813953488,0.16883116883116883,0.060057518942536366,0.058823529411764705
Ethena,4,0.13043478260869565,0.12346185397867104,0.16717325227963525,0.05942760942760942,0.05555555555555555
Ethena,5,0.125,0.11931818181818182,0.1661807580174927,0.05905319883118217,0.05357142857142857
Ethena,6,0.12,0.11543859649122808,0.16526610644257703,0.05870991253644314,0.05172413793103448
Ethena,7,0.11764705882352941,0.11359026369168357,0.16483516483516483,0.058548752834467116,0.05084745762711865
Ethena,8,0.11320754716981132,0.11006289308176101,0.164021164021164,0.058245349421820004,0.06557377049180328
Euler Finance,0,0.05454545454545454,0.5427377220480669,0.09027777777777778,0.14072340317871357,0.16304347826086957
Euler Finance,1,0.04918032786885246,0.5690756561225275,0.08811959087332809,0.154290947833475,0.17475728155339806
Euler Finance,2,0.04225352112676056,0.571700243656029,0.082010582010582,0.14620463835755787,0.15789473684210525
Euler Finance,3,0.0410958904109589,0.5775519222271321,0.07608695652173914,0.14276834731776872,0.15
Euler Finance,4,0.025974025974025976,0.5688102220360285,0.07246376811594203,0.13087694963888116,0.1693548387096774
Euler Finance,5,0.03571428571428571,0.5683852488363766,0.06958698372966207,0.14265680157730132,0.1590909090909091
Euler Finance,6,0.034482758620689655,0.5659958125026706,0.06794003868471954,0.14219206619464844,0.15555555555555556
Euler Finance,7,0.02197802197802198,0.5656985871271586,0.06748188405797101,0.14496935586635679,0.15
Euler Finance,8,0.02127659574468085,0.5626817694780346,0.06491228070175438,0.1467040558294175,0.11188811188811189
Frax,0,0.016355140186915886,0.07080807671255093,0.04005870672537339,0.12075650026911705,0.05043859649122807
Frax,1,0.010344827586206896,0.08806661387469104,0.03562831006259028,0.09411689285271387,0.050997782705099776
Frax,2,0.010368663594470046,0.08741887229473785,0.03559894576636104,0.09411239574811979,0.05
Frax,3,0.010344827586206896,0.08819379454322943,0.03346901854364541,0.10570226532626031,0.05088495575221239
Frax,4,0.010344827586206896,0.08819379454322943,0.03346901854364541,0.10570226532626031,0.05088495575221239
Frax,5,0.010368663594470046,0.0908216123746414,0.03358091850611989,0.10190607728849013,0.050997782705099776
Frax,6,0.010356731875719217,0.09073168392788646,0.033577150818530126,0.10188182503685848,0.05094130675526024
Frax,7,0.010309278350515464,0.09210523195283392,0.03363150960404965,0.10186568915539618,0.050716648291069456
Frax,8,0.011494252873563218,0.09634748741331814,0.033816929339317396,0.10186591462828681,0.05088495575221239
Horizon Protocol,0,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.2631578947368421
Horizon Protocol,1,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.2631578947368421
Horizon Protocol,2,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.2631578947368421
Horizon Protocol,3,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,4,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,5,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,6,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,7,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
